,itemsets,counts
5182,"frozenset({'earlyvoting', 'person'})",2
3593,"frozenset({'question', 'join'})",2
1058,"frozenset({'like', 'realdonaldtrump'})",2
1059,"frozenset({'like', 'die'})",2
5169,"frozenset({'count', 'florida'})",2
1014,"frozenset({'report', 'thursday'})",2
10394,"frozenset({'need', 'school'})",2
1109,"frozenset({'positive', 'die'})",2
1527,"frozenset({'vaccine', 'clinical'})",2
1407,"frozenset({'like', 'wear'})",2
1399,"frozenset({'webinar', 'pm'})",2
1402,"frozenset({'make', 'look'})",2
1292,"frozenset({'stay', 'wear'})",2
10434,"frozenset({'come', 'see'})",2
1269,"frozenset({'month', 'ago'})",2
1268,"frozenset({'economic', 'impact'})",2
11890,"frozenset({'die', 'play'})",2
1406,"frozenset({'like', 'day'})",2
1238,"frozenset({'make', 'sense'})",2
10309,"frozenset({'include', 'everything'})",2
1416,"frozenset({'think', 'wear'})",2
6973,"frozenset({'negative', 'positive'})",2
1215,"frozenset({'community', 'impact'})",2
1426,"frozenset({'million', 'go'})",2
1432,"frozenset({'month', 'another'})",2
1437,"frozenset({'must', 'congress'})",2
6992,"frozenset({'could', 'vaccine'})",2
1443,"frozenset({'number', 'state'})",2
1295,"frozenset({'many', 'go'})",2
1395,"frozenset({'live', 'join'})",2
1393,"frozenset({'help', 'time'})",2
1297,"frozenset({'many', 'know'})",2
1337,"frozenset({'mask', 'others'})",2
1338,"frozenset({'vaccine', 'trump'})",2
1339,"frozenset({'please', 'support'})",2
10398,"frozenset({'continue', 'help'})",2
1347,"frozenset({'next', 'month'})",2
10399,"frozenset({'continue', 'child'})",2
1317,"frozenset({'please', 'take'})",2
1365,"frozenset({'month', 'still'})",2
1367,"frozenset({'st', 'july'})",2
11939,"frozenset({'big', 'day'})",2
1381,"frozenset({'good', 'come'})",2
8746,"frozenset({'every', 'everyone'})",2
1383,"frozenset({'good', 'see'})",2
3390,"frozenset({'due', 'school'})",2
1385,"frozenset({'good', 'work'})",2
1391,"frozenset({'think', 'say'})",2
8743,"frozenset({'every', 'go'})",2
10310,"frozenset({'change', 'everything'})",2
1192,"frozenset({'lose', 'trump'})",2
1066,"frozenset({'want', 'realdonaldtrump'})",2
1335,"frozenset({'stop', 'wear'})",2
1503,"frozenset({'wear', 'refuse'})",2
10272,"frozenset({'one', 'life'})",2
1129,"frozenset({'come', 'day'})",2
1507,"frozenset({'think', 'would'})",2
1120,"frozenset({'well', 'health'})",2
13715,"frozenset({'one', 'another'})",2
